Date,Input,Feeling,Predicted Emotion,Suggested Actions,User_ID
2024-04-13 18:14:46,i broke my bottle today,it was my favourite. i had it for 8 years,sadness,"Listen to soothing music or watch uplifting movies to lift your spirits., Spend time in nature, enjoying the beauty and tranquility of the outdoors., Engage in hobbies or activities that bring you joy and allow you to express yourself., Watch a comforting movie",dum123
2024-04-13 18:08:32,i went to the park today,it was a really nice walk,joy,"Engage in creative endeavors such as painting, writing, or crafting., Take time to appreciate the beauty and wonder of life's simple pleasures., Dance like nobody's watching and let loose with spontaneous joy., Express gratitude for the positive aspects of your life.",dum123
2024-04-13 17:59:10,i fought with my friend today,it went really bad. I never want to talk to her again,sadness,"Remember that sadness is a natural part of the human experience, and it will pass with time and self-care., Practice self-care by getting enough rest, eating nourishing foods, and staying hydrated., Write down your thoughts and feelings in a journal to gain clarity and perspective., Allow yourself to feel your emotions fully without judgment.",dum123
2024-04-13 17:55:06,i fought with my friend today,it went really bad. i never want to talk to her again,sadness,"Engage in hobbies or activities that bring you joy and allow you to express yourself., Reach out to a trusted friend or family member for support and comfort., Engage in gentle exercise or movement to release tension and boost endorphins., Practice deep breathing exercises to calm your mind and body.",dum123
2024-04-04 10:09:38,i fought with my friend today,we both know she is wrong but she won't admit it.,surprise,"Trust in the universe and the unfolding of life's surprises, knowing that everything happens for a reason., Stay open to new possibilities and opportunities that may arise from the surprise., Share your surprise with others and enjoy their reactions., Allow yourself to be fully present in the moment and embrace the unexpected.",sam123
2024-03-28 19:22:21,I did horrible in my interview today. It was so unexpected,Nan,joy,"Connect with nature by spending time outdoors and appreciating its beauty., Engage in your favorite hobbies and activities that bring you joy., Spread positivity by complimenting others and performing acts of kindness., Practice self-care by engaging in activities that nurture your mind, body, and soul.",dan123
2024-03-28 19:14:15,i broke my bottle today. it was my favourite.,Nan,sadness,"Set small, achievable goals for yourself to regain a sense of purpose and accomplishment., Engage in hobbies or activities that bring you joy and allow you to express yourself., Allow yourself to cry if you feel the need, as it can be a cathartic release of pent-up emotions., Engage in gentle exercise or movement to release tension and boost endorphins.",sam123
2024-03-28 10:16:24,I'm really mad at my mom for waking me up late. I went to school super late,Nan,anger,"Redirect your energy into a creative outlet, such as painting or writing, Go for a walk, Practice forgiveness and let go of past resentments, Use positive affirmations or self-talk to remind yourself of your worth and resilience, especially during challenging moments of anger",sam123
2024-03-25 22:56:00,i was chased by a dog today. I had to run so much to avoid getting bitten,Nan,fear,"Seek professional help or therapy if fear significantly impacts your daily life or functioning., Distract yourself from what's causing you fear by doing something you like., Practice deep breathing exercises to calm your body and mind., Educate yourself about the object or situation that is causing fear to gain a better understanding and perspective.",dan123
2024-03-25 22:55:28,i'm really mad at my mother for waking me up late. I went super late to school.,Nan,anger,"Use visualization techniques to imagine a calming scene, Take a break from the situation and give yourself time to calm down, Listen to calming music or sounds of nature, Engage in activities that bring you joy and relaxation",dan123
2024-03-25 22:54:15,i did really well in my exam today and got 100/100. i can't wait to show my parents.,Nan,joy,"Celebrate your happiness, no matter how small., Listen to uplifting music or watch feel-good movies to boost your mood., Engage in your favorite hobbies and activities that bring you joy., Reflect on happy memories and cherish the positive experiences in your life.",sam123
2024-03-25 22:54:05,i broke my bottle today. It was my favourite,Nan,sadness,"Practice deep breathing exercises to calm your mind and body., Engage in gentle exercise or movement to release tension and boost endorphins., Practice self-care by getting enough rest, eating nourishing foods, and staying hydrated., Allow yourself to cry if you feel the need, as it can be a cathartic release of pent-up emotions.",sam123
